# RDT Density Profile for M = 1.4 M_sun
# EOS: SLy4, α = 0.3
# M_total = 1.400000 M_sun
# R_total = 13.638666 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
7.161458e+00 2.581818e+34 3.805526e-01 3.836740e+14
7.188788e+00 2.567360e+34 3.843848e-01 3.828009e+14
7.216118e+00 2.552887e+34 3.882360e-01 3.819239e+14
7.243448e+00 2.538400e+34 3.921061e-01 3.810430e+14
7.270778e+00 2.523900e+34 3.959951e-01 3.801582e+14
7.298108e+00 2.509386e+34 3.999028e-01 3.792694e+14
7.325438e+00 2.494860e+34 4.038292e-01 3.783766e+14
7.352768e+00 2.480321e+34 4.077742e-01 3.774799e+14
7.380098e+00 2.465771e+34 4.117376e-01 3.765792e+14
7.407428e+00 2.451208e+34 4.157194e-01 3.756745e+14
7.434758e+00 2.436635e+34 4.197196e-01 3.747658e+14
7.462088e+00 2.422051e+34 4.237379e-01 3.738531e+14
7.489418e+00 2.407457e+34 4.277743e-01 3.729364e+14
7.516748e+00 2.392853e+34 4.318288e-01 3.720156e+14
7.544078e+00 2.378239e+34 4.359011e-01 3.710907e+14
7.571408e+00 2.363617e+34 4.399912e-01 3.701618e+14
7.598738e+00 2.348986e+34 4.440990e-01 3.692288e+14
7.626068e+00 2.334347e+34 4.482244e-01 3.682917e+14
7.653398e+00 2.319700e+34 4.523673e-01 3.673504e+14
7.680728e+00 2.305046e+34 4.565275e-01 3.664051e+14
7.708058e+00 2.290385e+34 4.607050e-01 3.654555e+14
7.735388e+00 2.275718e+34 4.648996e-01 3.645019e+14
7.762718e+00 2.261044e+34 4.691112e-01 3.635440e+14
7.790048e+00 2.246366e+34 4.733397e-01 3.625819e+14
7.817378e+00 2.231681e+34 4.775850e-01 3.616157e+14
7.844708e+00 2.216993e+34 4.818469e-01 3.606452e+14
7.872038e+00 2.202300e+34 4.861253e-01 3.596705e+14
7.899368e+00 2.187603e+34 4.904201e-01 3.586915e+14
7.926698e+00 2.172903e+34 4.947312e-01 3.577082e+14
7.954028e+00 2.158199e+34 4.990585e-01 3.567206e+14
7.981358e+00 2.143494e+34 5.034017e-01 3.557287e+14
8.008688e+00 2.128786e+34 5.077608e-01 3.547325e+14
8.036018e+00 2.114076e+34 5.121356e-01 3.537319e+14
8.063348e+00 2.099365e+34 5.165259e-01 3.527270e+14
8.090678e+00 2.084654e+34 5.209318e-01 3.517177e+14
8.118008e+00 2.069942e+34 5.253529e-01 3.507039e+14
8.145338e+00 2.055230e+34 5.297892e-01 3.496858e+14
