# GR Density Profile for M = 1.4 M_sun
# EOS: SLy4
# M_total = 1.400000 M_sun
# R_total = 13.373536 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
8.603373e+00 1.905224e+34 6.609115e-01 3.390389e+14
8.630172e+00 1.886911e+34 6.656085e-01 3.377043e+14
8.656970e+00 1.868663e+34 6.703135e-01 3.363665e+14
8.683769e+00 1.850482e+34 6.750265e-01 3.350257e+14
8.710568e+00 1.832368e+34 6.797471e-01 3.336817e+14
8.737366e+00 1.814321e+34 6.844752e-01 3.323346e+14
8.764165e+00 1.796343e+34 6.892105e-01 3.309844e+14
8.790964e+00 1.778433e+34 6.939530e-01 3.296311e+14
8.817762e+00 1.760593e+34 6.987022e-01 3.282747e+14
8.844561e+00 1.742822e+34 7.034582e-01 3.269153e+14
8.871360e+00 1.725122e+34 7.082206e-01 3.255527e+14
8.898158e+00 1.707494e+34 7.129892e-01 3.241871e+14
8.924957e+00 1.689937e+34 7.177639e-01 3.228185e+14
8.951756e+00 1.672452e+34 7.225444e-01 3.214467e+14
8.978554e+00 1.655040e+34 7.273305e-01 3.200720e+14
9.005353e+00 1.637701e+34 7.321220e-01 3.186942e+14
9.032152e+00 1.620436e+34 7.369187e-01 3.173134e+14
9.058950e+00 1.603246e+34 7.417204e-01 3.159295e+14
9.085749e+00 1.586130e+34 7.465268e-01 3.145426e+14
9.112548e+00 1.569090e+34 7.513377e-01 3.131528e+14
9.139346e+00 1.552127e+34 7.561530e-01 3.117599e+14
9.166145e+00 1.535239e+34 7.609723e-01 3.103640e+14
9.192944e+00 1.518429e+34 7.657955e-01 3.089652e+14
9.219742e+00 1.501697e+34 7.706223e-01 3.075633e+14
9.246541e+00 1.485042e+34 7.754526e-01 3.061585e+14
9.273340e+00 1.468466e+34 7.802860e-01 3.047508e+14
9.300138e+00 1.451969e+34 7.851224e-01 3.033400e+14
9.326937e+00 1.435552e+34 7.899615e-01 3.019263e+14
9.353736e+00 1.419215e+34 7.948031e-01 3.005097e+14
9.380534e+00 1.402958e+34 7.996469e-01 2.990901e+14
